,borough,x,y,latitude,longitude
310,Barking & Dagenham,547755.3,188794.0,51.578648,0.130974
311,Barking & Dagenham,547762.2,188798.7,51.578688,0.131076
312,Barking & Dagenham,547745.6,188842.5,51.579086,0.130855
313,Barking & Dagenham,547743.3,188841.7,51.579079,0.130821
314,Barking & Dagenham,547733.8,188838.6,51.579054,0.130683
315,Barking & Dagenham,547740.9,188873.0,51.579361,0.1308
316,Barking & Dagenham,547743.0,188873.7,51.579367,0.13083
317,Barking & Dagenham,547928.3,188945.2,51.579961,0.133533
318,Barking & Dagenham,547922.6,188973.7,51.580218,0.133462
319,Barking & Dagenham,547914.2,188995.7,51.580418,0.13335
320,Barking & Dagenham,547902.0,189022.7,51.580664,0.133186
321,Barking & Dagenham,547891.3,189018.4,51.580628,0.13303
322,Barking & Dagenham,547890.9,189018.2,51.580627,0.133024
323,Barking & Dagenham,547889.9,189020.6,51.580648,0.133011
324,Barking & Dagenham,547880.2,189042.3,51.580846,0.13288
325,Barking & Dagenham,547878.8,189045.5,51.580875,0.132861
326,Barking & Dagenham,547884.1,189048.0,51.580896,0.132938
327,Barking & Dagenham,547871.1,189067.2,51.581072,0.132759
328,Barking & Dagenham,547860.5,189085.1,51.581236,0.132614
329,Barking & Dagenham,547858.7,189087.7,51.58126,0.132589
330,Barking & Dagenham,547854.8,189093.5,51.581313,0.132535
331,Barking & Dagenham,547827.6,189094.7,51.581331,0.132143
332,Barking & Dagenham,547798.6,189096.2,51.581352,0.131726
333,Barking & Dagenham,547624.9,189108.8,51.58151,0.129226
334,Barking & Dagenham,547522.6,189118.8,51.581627,0.127755
335,Barking & Dagenham,547521.0,189149.0,51.581899,0.127744
336,Barking & Dagenham,547522.3,189175.1,51.582133,0.127774
337,Barking & Dagenham,547534.4,189187.7,51.582243,0.127954
338,Barking & Dagenham,547535.4,189201.2,51.582364,0.127974
339,Barking & Dagenham,547539.6,189256.0,51.582855,0.128057
340,Barking & Dagenham,547535.4,189270.7,51.582988,0.128003
341,Barking & Dagenham,547506.7,189370.1,51.583889,0.127631
342,Barking & Dagenham,547478.1,189374.3,51.583934,0.12722
343,Barking & Dagenham,547485.9,189430.1,51.584434,0.127356
344,Barking & Dagenham,547410.5,189682.9,51.586725,0.126375
345,Barking & Dagenham,547416.8,189686.4,51.586755,0.126467
346,Barking & Dagenham,547557.0,189725.9,51.587073,0.128506
